Point:1   (1009.5,8170.5) hospital
Point:2   (1534.5,8139) house
Point:21   (1669.5,11260) house
Point:22   (1719.5,11260) house
Point:23   (1786.5,11339) house
Point:24   (1836.5,11339) house
Point:25   (1927.5,11284) house
Point:27   (1980.5,11459) house
Point:26   (2024.5,11280) house
Point:28   (2034.5,11611) hospital
Point:20   (2042.5,8526) hotel
Point:32   (2150.5,10553) house
Point:33   (2200.5,10553) house
Point:34   (2289.5,10522) house
Point:29   (2294,8842.5) house
Point:35   (2326.5,10492.5) house
Point:30   (2388,8816) house
Point:45   (2651.5,12681) house
Point:36   (2692.5,10761) house
Point:39   (2709.5,11501) house
Point:37   (2742.5,10761) house
Point:38   (2792.5,10761) house
Point:40   (3154.5,10902.5) house
Point:41   (3195.5,11071) house
Point:42   (3245.5,11071) house
Point:5   (3419.5,6654) house
Point:660   (3419.5,20421) shoppingmall
Point:661   (3419.5,20471) hotel
Point:31   (3443,9230.5) house
Point:6   (3469.5,6654) house
Point:7   (3519.5,6654) house
Point:4   (3587.5,6281) house
Point:43   (3635,10841) house
Point:8   (3653.5,6987) house
Point:44   (3657.5,11443) hotel
Point:659   (3730,19392.5) office24
Point:46   (3762.5,14632.5) house
Point:3   (3782.5,5535) house
Point:9   (3808,7167.5) house
Point:51   (4356.5,10070) house
Point:52   (4482.5,10071.5) house
Point:10   (4695,7630) house
Point:665   (4877.5,19018.5) office24
Point:47   (4901.5,8671) house
Point:723   (4913,21522) university
Point:11   (4946.5,7914) house
Point:55   (4966.5,9602.5) house
Point:12   (5009.5,8003) house
Point:48   (5026.5,9046) house
Point:15   (5027.5,8152) house
Point:16   (5027.5,8202) house
Point:13   (5059.5,8003) house
Point:666   (5068,19760) house
Point:662   (5069.5,17486) office24
Point:49   (5076.5,9046) house
Point:53   (5081.5,9277) house
Point:54   (5108,9378.5) house
Point:14   (5109.5,8003) house
Point:50   (5110.5,9182) house
Point:724   (5112,23033.5) shoppingmall
Point:672   (5198,19793) house
Point:673   (5406,19849.5) office24
Point:57   (5440,11208) house
Point:56   (5461.5,10914.5) house
Point:17   (5843,7803) house
Point:80   (5905.5,13158) office38
Point:79   (5914.5,12807.5) office38
Point:667   (5920.5,18591) office24
Point:81   (5929.5,13208) office38
Point:668   (5970.5,18591) office24
Point:82   (5976.5,13251) office38
Point:669   (6020.5,18591) office24
Point:85   (6045,14414) hospital
Point:83   (6066.5,13224) office38
Point:670   (6070.5,18591) office24
Point:18   (6072.5,7850) hospital
Point:84   (6079.5,13329) office38
Point:663   (6085.5,16661) shoppingmall
